expcode,impcode,common_lang,ln_distance,ln_trade
MOROCCO,CAMEROON,1,3.436064,9.178643
MOROCCO,CENTRAL AFR.,1,3.585444,5.370638
MOROCCO,CHAD,1,3.381365,2.302585
MOROCCO,CONGO,0,3.65293,8.735847
MOROCCO,GABON,1,3.611123,8.5923
MOROCCO,ANGOLA,0,3.918481,5.416101
MOROCCO,BURUNDI,1,3.909064,NA
MOROCCO,COMOROS,1,4.191975,4.477337
MOROCCO,ZAIRE,0,3.781081,7.924434
MOROCCO,BENIN,1,3.162907,6.988413
MOROCCO,EQ. GUINEA,1,3.512769,3.091043
MOROCCO,ETHIOPIA,1,3.896793,NA
MOROCCO,DJIBOUTI,1,3.954974,NA
MOROCCO,GAMBIA,0,3.084044,4.127134
MOROCCO,GHANA,0,3.185806,NA
MOROCCO,GUINEA,1,3.072093,8.697846
MOROCCO,COTE D'IVOIR,1,3.178054,8.965335
